customer_id,first_name,last_name,email,city,country
C0001,Eduardo,Bowman,catherineray@kaiser-grant.net,West Kelly,Congo
C0002,John,Roy,garciathomas@mitchell.com,Michaelborough,Macedonia
C0003,Howard,Carson,michelle36@yahoo.com,Rodriguezton,Ethiopia
C0004,Cynthia,Kirk,dianegoodman@hotmail.com,Brooksbury,Croatia
C0005,Vincent,Calderon,frusso@gmail.com,Moniqueberg,Cambodia
C0006,James,Coleman,christopher80@kramer.biz,New Larry,San Marino
C0007,Fernando,Contreras,tallen@frye.com,Nelsonstad,Ethiopia
C0008,Heather,Hoffman,seanwarren@gmail.com,Josephhaven,Turkmenistan
C0009,Eric,Barker,ryan33@yahoo.com,South Cristianchester,Morocco
C0010,Hannah,Scott,andresmiller@hotmail.com,Johnsonville,New Zealand
C0011,Brian,Bauer,kellymolly@hotmail.com,Brownside,Saint Helena
C0012,Chad,Logan,eileen53@hotmail.com,East Michael,Mauritania
C0013,Erica,Peters,laura61@barajas.net,West Henry,Benin
C0014,David,Webster,amy80@yahoo.com,Kelleyton,Mauritius
C0015,Edward,Jones,ramseyanne@wong.com,North James,Uzbekistan
C0016,Douglas,Stuart,reyespaul@richardson.org,Lake Brandon,Venezuela
C0017,Frank,Schultz,ramirezdavid@hotmail.com,Timothyside,Greenland
C0018,Mary,Odonnell,rossmark@griffin.com,Benjaminburgh,Spain
C0019,Joshua,Dalton,gonzalezdestiny@phillips-lawson.info,West Richardchester,Syrian Arab Republic
C0020,Hannah,Robinson,qcampbell@brown.net,Port Amandatown,Kazakhstan
C0021,Juan,Mercado,johndavis@hotmail.com,East Julie,Panama
C0022,Tara,Baker,pjohnston@lane.com,Montoyachester,Sao Tome and Principe
C0023,Jacqueline,Young,elizabethjones@mejia-keith.info,Lake Paula,Philippines
C0024,James,Williams,browndavid@simpson-livingston.com,Chrischester,Chad
C0025,Mark,Williams,theresadelgado@clark.info,Port Elizabeth,Svalbard & Jan Mayen Islands
C0026,Trevor,Sanders,barbararice@gmail.com,North Josephfurt,Poland
C0027,Patricia,Randall,lorihayes@hotmail.com,North Danielland,Faroe Islands
C0028,James,Myers,icochran@hotmail.com,Weaverside,Tonga
C0029,Sean,Middleton,nhoffman@moore-lambert.com,Dawnfort,Central African Republic
C0030,Tracy,Jones,leahphillips@gmail.com,Hurstmouth,Mozambique
C0031,Patricia,Moran,simonjames@gmail.com,Dominicshire,Papua New Guinea
C0032,James,Cunningham,scottmurphy@hotmail.com,Lake Scottfort,United States of America
C0033,Jorge,Gonzalez,franklittle@delgado-berry.com,West Adamberg,Vanuatu
C0034,Denise,Hill,kellydonna@yahoo.com,South Brianborough,Italy
C0035,Jesse,Logan,murphyemily@yahoo.com,Lindaborough,Samoa
C0036,Kristi,Campbell,leahrichardson@yahoo.com,West Barbaraland,South Georgia and the South Sandwich Islands
C0037,Zachary,Nelson,kathy28@yahoo.com,North Scott,Angola
C0038,Jason,Page,carolyntorres@jones-sanders.com,East Robert,Switzerland
C0039,Denise,Villarreal,bgreene@grant.org,South Annestad,Cote d'Ivoire
C0040,Sabrina,Page,darylfrazier@gmail.com,South Deborah,Suriname
C0041,Lisa,Morgan,lbray@hotmail.com,West Rogerburgh,Saint Helena
C0042,Amy,Conway,smithsophia@henry-smith.com,New Barbaraport,Suriname
C0043,Heather,Floyd,stevendiaz@yahoo.com,Bakerview,United Kingdom
C0044,Susan,Peterson,reedrussell@gmail.com,Harrishaven,Russian Federation
C0045,Charles,Ibarra,thomaschang@gmail.com,New Ariel,Czech Republic
C0046,Stephanie,Chambers,hjones@hotmail.com,South Amanda,Israel
C0047,Ronald,Bishop,ajones@hotmail.com,Meganshire,Croatia
C0048,Seth,Lewis,david95@wood.com,Lake George,Portugal
C0049,Eric,Fox,pamela46@garcia.biz,Stephanieton,Malta
C0050,Joel,Garner,eflores@wolfe-schmitt.com,Wrightbury,Wallis and Futuna
C0051,April,Alexander,freyjohn@obrien.net,East Patrickberg,Nepal
C0052,Melissa,Huynh,stephen85@yahoo.com,Cynthiahaven,Honduras
C0053,Daniel,Nichols,bdavidson@walton.biz,North Holly,French Southern Territories
C0054,David,Sullivan,rebecca87@gmail.com,South Katherinefurt,Liberia
C0055,Manuel,Perez,annacalderon@thomas.com,Youngside,Bhutan
C0056,Calvin,Freeman,daytina@howe.org,West Lori,Vanuatu
C0057,Elizabeth,Rodgers,evansryan@yahoo.com,Douglasbury,Liechtenstein
C0058,Vanessa,Robinson,johnsonchristopher@hicks-williams.com,East Lauren,Saint Helena
C0059,Stephanie,Wood,arnoldkevin@gray.info,Smithbury,Burundi
C0060,Tony,Stark,sanchezdaniel@gmail.com,Powellborough,South Georgia and the South Sandwich Islands
C0061,Jim,Kramer,egross@gmail.com,Cummingsberg,Eritrea
C0062,Nancy,Mitchell,fpaul@gmail.com,Port Valerie,Northern Mariana Islands
C0063,Sheryl,Dodson,agriffith@garcia.com,East Timothyside,Antarctica (the territory South of 60 deg S)
C0064,Cassandra,Holland,jillian96@yahoo.com,Hernandezhaven,Bermuda
C0065,John,Ferguson,bparker@johnson.com,Zacharyburgh,Brunei Darussalam
C0066,Ryan,Beard,pamela39@hotmail.com,South Dwayne,Bhutan
C0067,Eric,Bass,calebphillips@smith.info,Danielburgh,Switzerland
C0068,Jamie,Maddox,garrettdeborah@wilson.com,Marshallshire,Estonia
C0069,Kristen,Robinson,elizabethmathis@patterson-flores.biz,Greggberg,Cuba
C0070,Gregory,Cooper,roberto25@stewart.com,Hawkinsfort,Comoros
C0071,Kathleen,Price,carolpham@hotmail.com,Jasonbury,Faroe Islands
C0072,Anthony,Kim,paceashley@jimenez.biz,East Dennis,Comoros
C0073,Amanda,Peterson,nancy53@ford.com,Christinefort,Hong Kong
C0074,Timothy,Butler,robertclark@brady.biz,West Shannon,Eritrea
C0075,Kimberly,Walsh,nicolewong@yahoo.com,Parkershire,Guam
C0076,Robert,Bush,manningmary@hotmail.com,Joshuafurt,Uzbekistan
C0077,Alexis,Potter,davisellen@gmail.com,South Kayleeburgh,Seychelles
C0078,Cheyenne,Anderson,fernandosanford@burke-flores.info,East Timothy,Northern Mariana Islands
C0079,Alexandria,Banks,coxjennifer@dennis.com,Port Jamesmouth,Reunion
C0080,William,Lopez,uwilson@davis.com,Port Rhonda,Jersey
C0081,Michelle,Martin,ian66@aguirre.com,Lake Rogermouth,Cambodia
C0082,Melanie,Jefferson,amanda84@flores-nichols.org,Kristenville,Colombia
C0083,Sarah,Larsen,yschultz@hotmail.com,Lake Kristenborough,Libyan Arab Jamahiriya
C0084,April,Williams,gordonturner@yahoo.com,Rachelshire,Netherlands Antilles
C0085,James,Russell,yferguson@berry.com,North Alan,Cook Islands
C0086,Adriana,Davis,ellislori@marquez.com,Port Davidmouth,Romania
C0087,Timothy,Mcpherson,megan03@gmail.com,South David,Algeria
C0088,Maria,Adams,oliverphyllis@gmail.com,West Joanna,Malaysia
C0089,Jody,Jones,david96@yahoo.com,Suttonfurt,Turkey
C0090,Jacqueline,Bell,edwardlowe@wiggins.com,Bradleyburgh,Italy
C0091,Abigail,Massey,george17@ramirez.com,North Briannafort,Norway
C0092,Amy,Holden,aroberts@gmail.com,East Ronnie,French Polynesia
C0093,Heather,Estrada,williamssavannah@tapia.info,Angelaville,Samoa
C0094,Sandra,Edwards,djoseph@gmail.com,Diazfort,Russian Federation
C0095,Albert,Perkins,russell29@yahoo.com,South Holly,Portugal
C0096,Anthony,Adams,susan66@yahoo.com,Michaelberg,China
